piece_id,file,tempo_bpm,mean_ratio,std_ratio,n_pairs
Blue Dorian Drift,../pieces/Blue Dorian Drift.mp3,127.8409090909091,1.7095005413428053,0.8937492168225376,186
Blue Note Bounce,../pieces/Blue Note Bounce.mp3,144.23076923076923,2.014134548989729,0.8704606530154124,238
Chasing the High Flight - FuchsiaSoaringVuvuzela182103,../pieces/Chasing the High Flight - FuchsiaSoaringVuvuzela182103.mp3,140.625,1.3024862112562603,0.687400984926162,482
Corner Pocket Riff,../pieces/Corner Pocket Riff.mp3,100.44642857142857,1.0964738973765378,0.42208870682699245,404
Moonlit Voicings,../pieces/Moonlit Voicings.mp3,68.59756097560975,1.5129612342387844,0.8185249431503777,161
Rail Yard Bop,../pieces/Rail Yard Bop.mp3,125.0,1.1591763418300274,0.499941546042408,681
Whispers of the Dorian Sky ext v2 - FuchsiaSoaringVuvuzela182103,../pieces/Whispers of the Dorian Sky ext v2 - FuchsiaSoaringVuvuzela182103.mp3,133.9,1.225,0.617,98
Blue_and_Purple,../pieces/Blue_and_Purple.mp3,120.2,1.358,0.747,115
Sprint_of_the_Brass,../pieces/Sprint_of_the_Brass.mp3,110.0,1.105,0.449,562
The_Flaming_Band,../pieces/The_Flaming_Band.mp3,152.0,1.786,0.950,36
latin_bop,../pieces/latin_bop.mp3,139.7,1.047,0.268,785
Lush Chord Dreams ext v1.1.1.1fuchsiasoaringvuvuzela182103,../pieces/Lush Chord Dreams ext v1.1.1.1fuchsiasoaringvuvuzela182103.mp3,108.2,1.487,0.859,192
